timestamp,hr,sdnn,rmssd
2025-11-15 00:45:05,49.2,718.19,1041.8
2025-11-15 00:45:05,49.2,718.19,1041.8
2025-11-15 00:45:05,49.2,718.19,1041.8
2025-11-15 00:45:05,49.2,717.94,1041.56
2025-11-15 00:45:05,49.2,718.19,1041.8
2025-11-15 00:45:05,49.2,718.19,1041.8
2025-11-15 00:45:05,49.2,718.19,1041.8
2025-11-15 00:45:05,49.2,720.48,1042.14
2025-11-15 00:45:05,49.2,720.48,1042.14
2025-11-15 00:45:05,49.2,720.48,1042.14
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,708.29,1103.53
2025-11-15 00:45:05,49.2,720.48,1042.14
2025-11-15 00:45:05,49.2,720.59,1090.72
2025-11-15 00:45:05,49.2,720.59,1090.72
2025-11-15 00:45:06,49.2,700.26,1058.3
2025-11-15 00:45:06,49.2,700.26,1058.3
2025-11-15 00:45:06,49.2,700.26,1058.3
2025-11-15 00:45:06,49.2,700.26,1058.3
2025-11-15 00:45:06,49.2,720.48,1042.14
2025-11-15 00:45:06,49.2,720.48,1042.14
2025-11-15 00:45:06,49.2,720.48,1042.14
2025-11-15 00:45:06,70.3,723.43,1044.95
2025-11-15 00:45:06,70.3,723.43,1044.95
2025-11-15 00:45:06,70.3,723.43,1044.95
2025-11-15 00:45:06,42.2,723.43,1044.95
2025-11-15 00:45:06,42.2,727.61,1051.74
2025-11-15 00:45:06,42.2,681.08,938.23
2025-11-15 00:45:06,42.2,662.87,1079.02
2025-11-15 00:45:06,42.2,662.87,1079.02
2025-11-15 00:45:06,42.2,662.87,1079.02
2025-11-15 00:45:06,42.2,687.68,1117.12
2025-11-15 00:45:06,70.3,691.93,1140.97
2025-11-15 00:45:06,70.3,684.44,1114.59
